Country,Region,SDGi,Life Exectancy,HDI,Per Capita GDP,Income Group,Population (millions),Cropland Footprint,Grazing Footprint,Forest Product Footprint,Carbon Footprint,Fish Footprint,Built up land,Total Ecological Footprint (Consumption),Cropland,Grazing land,Forest land,Fishing ground,Built up land,Total biocapacity,Ecological (Deficit) or Reserve,Number of Earths required,Number of Countries required
France,EU-27,81.2,82,0.9,"$47,995 ",HI,65.6,1,0.3,0.5,2.2,0.2,0.2,4.3,1,0.2,973.828.654,111.034.045,150.927.203,2.458.371.838,-1.854.753.308,2.855.966.926,1.754.464.105
French Guiana,South America,,,,,,0.3,,,,,,,1.5,,,,,,8.564.610.998,8.409.905.689,1.024.392.362,1.806.332
French Polynesia,Asia-Pacific,,79,,,HI,0.3,,,,,,,3.7,,,,,,1.127.148.909,-259.044.909,246.163.433,3.298.231.466
Gabon,Africa,62.8,66,0.71,"$15,287 ",UM,2.3,0.5,0.1,0.7,0.4,0.3,0,2.1,0.3,0.9,1.360.587.343,202.884.706,47.333.569,1.693.358.961,1.486.912.834,1.366.997.922,121.915.159
Gambia,Africa,60.2,62,0.5,"$2,266 ",LI,2.6,0.5,0,0.1,0.1,0.1,0,0.9,0.1,0,67.683.378,2.140.504,8.195.625,453.522.263,-400.349.892,565.397.606,1.882.756.866
Georgia,Middle East/Central Asia,73.4,72,0.8,"$15,926 ",LM,4,0.4,0.2,0.2,1.4,0.4,0.1,2.7,0.2,0.4,684.855.551,53.067.582,59.808.108,1.381.262.506,-1.274.215.722,1.758.344.063,1.922.500.767
Germany,EU-27,82.2,81,0.94,"$54,192 ",HI,83.9,0.9,0.2,0.5,2.7,0.1,0.2,4.5,0.6,0.1,69.945.463,74.531.266,178.085.032,1.614.535.735,-288.414.354,2.978.832.931,2.786.360.919
Ghana,Africa,63.4,64,0.63,"$5,785 ",LM,32.4,0.4,0.1,0.6,0.3,0.2,0.1,1.8,0.4,0.2,184.274.182,46.136.535,115.712.303,923.303.742,-831.974.234,1.162.269.972,1.901.084.005
Greece,EU-27,76.8,80,0.89,"$30,488 ",HI,10.3,1,0.4,0.3,1.9,0.1,0.1,3.8,1,0.1,232.627.086,193.254.918,70.193.199,1.604.464.539,-2.175.733.806,2.503.085.601,2.356.049.792
Grenada,Central America/Caribbean,,75,0.8,"$15,668 ",UM,0.1,,,,,,,1.8,,,,,,1.579.307.577,-197.695.336,1.176.655.297,1.125.178.489
Guadeloupe,Central America/Caribbean,,,,,,0.4,,,,,,,3.4,,,,,,550.723.844,-2.869.245.141,2.264.557.132,6.209.952.634
Guatemala,Central America/Caribbean,61,69,0.63,"$8,489 ",LM,18.6,0.4,0.2,0.6,0.5,0.1,0.2,1.9,0.3,0.1,273.859.873,39.997.543,223.395.459,963.671.112,-930.130.593,1.253.994.459,1.965.195.056
Guinea,Africa,51.3,59,0.47,"$2,595 ",LI,13.9,0.4,0.5,0.4,0.1,0.1,0.1,1.5,0.3,0.6,496.427.206,255.151.168,53.672.517,1.718.858.332,192.929.679,1.010.404.665,88.775.708
Guinea-Bissau,Africa,,60,0.48,"$2,384 ",LI,2.1,0.4,0.1,0.6,0.1,0.1,0,1.2,0.5,0.1,260.773.538,1.434.115.082,2.710.898,2.243.595.147,1.036.350.302,799.385.882,538.084.978
Guyana,South America,63.9,66,0.71,"$32,768 ",LM,0.8,,,,,,,3.3,,,,,,7.050.741.296,6.719.211.874,2.195.245.984,47.020.506
Haiti,Central America/Caribbean,51.9,63,0.54,"$2,731 ",LI,11.7,0.3,0,0.1,0.1,0,0,0.6,0.1,0,25.123.594,1.068.696,26.237.388,235.699.613,-355.312.615,39.134.301,250.748.069
Honduras,Central America/Caribbean,63.1,70,0.62,"$5,773 ",LM,10.2,,,,,,,1.3,,,,,,1.651.119.574,304.040.667,891.978.015,815.857.875
Hungary,EU-27,79,74,0.85,"$35,069 ",HI,9.6,1.1,0.1,0.4,2.1,0,0.1,3.8,1.7,0.1,661.675.174,6.552.052,121.567.415,2.570.671.975,-1.217.913.853,2.508.639.433,1.473.772.564
